,reviewer_review,reviewer_avg,reviewer_review_cnt,reviewer_review_score,reviewer_review_date,reviewer_id,diner_idx
0,"여기 지리탕 진짜 맛있어요.. ㅎㅎ
대만족",3.7,48,5.0,2024.01.02.,"졔졔
실버 배지
레벨
21",10620618
1,아구찜 여기만큼 맛있는 데 못 찾음. 밑반찬도 정성 가득임.,4.9,24,5.0,2023.11.15.,"강현애
실버 배지
레벨
15",10620618
2,대ㅡ존ㅡ맛.,4.8,5,5.0,2023.04.28.,"ㅇㅇ
브론즈 배지
레벨
4",10620618
0,,4.3,19,5.0,2024.01.24.,"이진성
브론즈 배지
레벨
2",1165390358
1,맛있고 사장님이 매우 친절하심...,4.3,38,5.0,2023.09.11.,"뇽냥뇽
실버 배지
레벨
18",1165390358
2,"살면서 먹어본 신전 지점중에서 제일 맛있고 
맛이 깔끔함!! 튀김이 특히 시간 지나도 바삭바삭하고 
암튼 진짜 너무 맛있어서 자주 포장해옵니다
매장도 힝상 깨끗하고 사장님 친절하심 👍👍👍
더보기",5.0,6,5.0,2023.05.30.,"₩
브론즈 배지
레벨
3",1165390358
8,"맛있고 좋습니다
중간맛이 많이 매우니 순한맛 추천합니다",4.3,90,5.0,2023.03.17.,"563
실버 배지
레벨
24",1165390358
9,"재방문의사 400% 카카오맵 별점 신뢰가 간다
사장님 친절하시고 진짜 댕맛있음",4.5,15,5.0,2023.02.10.,"염
실버 배지
레벨
11",1165390358
10,신전 여러군데 먹어보니 여기가 적당히 점도있는 소스에 맛난걸 알게됨.,4.3,105,5.0,2022.11.16.,"밀이
실버 배지
레벨
26",1165390358
11,맛있고 친절하세요!,4.5,2,5.0,2022.07.21.,"allsilver
브론즈 배지
레벨
6",1165390358
12,치즈로 주문했는데 일반 떡볶이로 와서 전화드렸더니 금새 새걸로 가져다주셨어요! 같이시켰던 튀김세트까지 새로 가져다주셔서 정말 감동이예요 번창하세요 친절한 사장님… 자주 시켜먹을게요… ♥ ♥,4.6,11,5.0,2022.02.19.,"슈크림라떼
실버 배지
레벨
11",1165390358
18,친절하세요,2.8,13,5.0,2021.11.26.,"림
브론즈 배지
레벨
6",1165390358
19,"사장님,직원 분 다 너무 친절하시구 맛도 괜찮아용많이 이용할게여",4.5,2,5.0,2021.01.03.,"기요미등장
브론즈 배지
레벨
2",1165390358
20,전화받으신 분이 친절하시고 밝으셔서 마음이 편해졌어요~ 13000원이상 배달+배달료2천원 참고하세용,4.6,7,4.0,2020.12.04.,"꽉찌""
브론즈 배지
레벨
5",1165390358
21,,4.5,17,5.0,2020.06.18.,"밍
브론즈 배지
레벨
4",1165390358
22,"떡뽁이가 너무빨리 나와서 놀랐어요!
항상 웃는얼굴로 친절하게 대해주셔서 또 방문의사 있어요!",3.0,2,5.0,2020.04.12.,"겨울냄새
브론즈 배지
레벨
2",1165390358
23,,3.4,136,3.0,2020.04.07.,"ㄱ
실버 배지
레벨
21",1165390358
24,,2.6,326,3.0,2020.01.03.,"맛집감별사
골드 배지
레벨
32",1165390358
0,"너무 맛있고 푸짐하고 항상 친절한 곳!!
오년 넘게 항상 같은 맛을 유지합니다

불고기 전골도 너무 맛있고
서비스로 나오는 순두부찌개도 정말 맛있어요🩷
더보기",3.9,88,5.0,2023.11.17.,"라
실버 배지
레벨
26",608283304
1,맛있게 먹었습니다.,3.4,136,4.0,2023.09.28.,"ㄱ
실버 배지
레벨
21",608283304
2,,3.3,24,4.0,2023.04.24.,".
브론즈 배지
레벨
4",608283304
8,맛이 없어요,3.6,88,2.0,2021.11.13.,"파이팅!
실버 배지
레벨
25",608283304
9,,5.0,2,5.0,2021.09.24.,"이범석
브론즈 배지
레벨
3",608283304
10,사장님이 진짜 불친절합니다 주문하다가 나갈뻔했어요,1.0,1,1.0,2020.03.20.,"Junho Yu（柳俊浩，Jacob)
브론즈 배지
레벨
1",608283304
11,,2.6,326,2.0,2020.01.03.,"맛집감별사
골드 배지
레벨
32",608283304
12,밥도깔끔  혼자서 먹었는데  순대국 열집가면  거의 역겨운 냄새가 났는데 오랫만에 괞찬은집 발견 가격도  착한편  유명해지면 올린다고 하는데 올려도 순댓국 좋아하는사람은 찾아갈듯  종업원이랑 사장 은 좀무뚝뚝한편 그래도 맛이 있으면 된다,1.6,26,5.0,2018.04.26.,"p
실버 배지
레벨
14",608283304
0,,4.1,7,3.0,2023.11.30.,"이봉주
브론즈 배지
레벨
2",1081168440
1,여기 알바 너무 친절하고 좋아요🤩,4.2,77,5.0,2023.10.15.,"🤷🏻
실버 배지
레벨
26",1081168440
2,"비가 추적추적 오는날 전이 아니라 오짱을 먹고싶어서 맥주와 한 잔 하기 위해 찾아간 청년다방.. 맥주는 순식간에 원샷해서 사진은 없구요 제정신을 차리고 나온 메뉴들은 사진을 찍었네욬ㅋㅋㅋ

배고파서 그런지 어찌나 허겁지겁 먹었는지 모르겠어요.

저는 왜케 청년다방 떡볶이 소스가 맛있을까요? 먹을 때마다 숟가락으로 퍼먹는것 같아요

오늘도 역시나 퍼먹었네요 ㅋㅋㅋㅋ
비가 왔는데도 매장이 깔끔하고 관리가 잘 되는 것 같아서 더 기분 좋았습니당
더보기",5.0,101,5.0,2023.05.17.,"정다빈
골드 배지
레벨
31",1081168440
8,,3.5,194,4.0,2023.04.03.,"하염
골드 배지
레벨
36",1081168440
9,짱 친절하십니다 청년다방 최상위권,3.8,24,5.0,2022.10.22.,"카레군
실버 배지
레벨
12",1081168440
10,청년다방 진짜 맛있어용 ㅠ 친구 여럿이랑 먹어두 양 많아서 남았어요 앞으로도 자주 먹을 거예요 ㅎㅎ!!,4.7,108,5.0,2022.09.22.,"이혀이
실버 배지
레벨
21",1081168440
11,"안보이니 깨끗한줄~

보면 토한다~",1.8,32,1.0,2021.12.30.,"🤐
실버 배지
레벨
15",1081168440
12,맛도 좋고 친절하셔서 기분 좋은 점심이었어요,4.6,27,5.0,2020.12.15.,"시연
실버 배지
레벨
16",1081168440
15,"일주일 사이에 두 번 방문했는데요 맛도 좋았구 매장도 깨끗하고요 일하시는 분들도 친절했어요 그리고 주방에서 요리하시는 남자분이 사장님인 것 같은데 직원들한테 @@님이라고 부르는 게 인상깊었습니다 (ex @@님 ##님한테 이것 좀 가르쳐주세요)
저도 알바인생 살고 있는데 사장님이 직원 대하는 태도는 직원이 손님 대하는 태도에 영향 끼친다고 생각해요 이성적으로 일하려고 해도 정말 어쩔 수 없이요 ㅎㅎ 배달로 먹어도 잘 올 것 같아서 다음엔 배달로 시켜먹고 배민리뷰도 좋게 적어드리고 싶을 정도로 만족스러운 가게입니다!
더보기",4.0,22,5.0,2020.10.26.,"키미
실버 배지
레벨
16",1081168440
16,,2.6,326,4.0,2020.01.03.,"맛집감별사
골드 배지
레벨
32",1081168440
0,바쁘면 사람을 더 쓰세요 점심시간에 두명이서 근무하니 바쁘죠 손님한테 짜증풀지 마시고요,3.9,70,2.0,2024.02.17.,"mono
실버 배지
레벨
22",925862528
1,그냥 여긴 ㅈㄴ바쁨 맨날 만들고있고 사람이 있음 여기에 별점테러하는건 그냥 국민의식이 중국만한거,3.0,2,5.0,2023.10.23.,"원이
브론즈 배지
레벨
3",925862528
2,여긴 한여름에도 에어컨을 안트네요..,2.0,24,1.0,2023.06.29.,".
실버 배지
레벨
12",925862528
5,,4.0,1,4.0,2023.06.06.,"セホ
브론즈 배지
레벨
1",925862528
6,"주방에서 코스크 턱스크로 만들다가
손님 들어오는거 쓰윽 보고 올리면 뭐합니까?
쭉 지켜보니 매번 그러네 ㅡㅡ",3.0,32,1.0,2022.02.04.,"Fill this night
실버 배지
레벨
14",925862528
0,사장님이 너무 친절해요,1.1,62,1.0,2023.10.21.,"BIN WOO LOVE43
실버 배지
레벨
23",1044819863
1,사진과 실물이 다르다 알려주시고.....,3.6,17,1.0,2022.08.29.,".
실버 배지
레벨
12",1044819863
2,,4.1,8,2.0,2020.05.23.,"Jk
브론즈 배지
레벨
4",1044819863
0,30분 기다렸네요. 직원 둘이 일을 못하는건지 사람이 부족한건지 개선 필요할듯.,2.8,11,1.0,2023.12.24.,"정의정
브론즈 배지
레벨
9",155917093
1,"점심시간에 토스트하나 먹을라고 기다린게 20분
바쁜시간엔 사람좀 씁시다",1.0,2,1.0,2023.12.05.,"start
브론즈 배지
레벨
2",155917093
2,집근처에 생겨서 너어어어무우우 좋아용,4.4,148,5.0,2022.05.11.,"mmm
골드 배지
레벨
35",155917093
0,그럭저럭 가끔 생각날때 가요~,4.0,31,4.0,2023.10.14.,"김은샘
실버 배지
레벨
17",24163589
1,겁나 맛있는디 사람들이 몰라줘서 아쉽. 홀이 좁은감이 있지만 맛 생각하면 갠춘. 피자에 치즈가 많이서 좋다,4.5,51,5.0,2023.08.02.,"먕먕
실버 배지
레벨
21",24163589
2,,1.0,1,1.0,2022.10.23.,"음
브론즈 배지
레벨
1",24163589
0,"백숙과 누룽지탕의 조화가 딱입니다 
부모님 모시고 가족모임하기 좋은 장소

주차 30칸 정도 있음
더보기",4.3,16,5.0,2024.02.11.,"La Resistance
실버 배지
레벨
11",8070851
1,,4.0,73,4.0,2023.11.03.,"강석태
실버 배지
레벨
21",8070851
2,,4.8,5,4.0,2023.10.01.,"최진택
브론즈 배지
레벨
3",8070851
0,"별한개도 아깝다

계란말이 내가 해먹는게 더 푸짐하고 맛나겠음

저렇게만들어서 몇천원씩 팔아먹냐????
더보기",1.8,32,1.0,2023.12.29.,"🤐
실버 배지
레벨
15",1722732268
0,,5.0,1,5.0,2024.02.12.,".
브론즈 배지
레벨
2",1938057161
1,"사장님이 친절하시고, 부대찌개도 엄청 맛있어용",4.9,51,5.0,2021.06.18.,"로니
실버 배지
레벨
25",1938057161
2,,4.2,91,5.0,2021.06.04.,"MrVin
실버 배지
레벨
23",1938057161
0,부대찌개가 1인분도 되면서 맛있는 곳 찾기가 은근히 어려운데 이곳은 다 돼서 좋습니다. 사장님들 정말 친절하시구요.,4.6,14,5.0,2024.01.23.,"Ellie
실버 배지
레벨
15",46944311
1,점심시간 피크시간대에 혼밥하러 갔는데 사장님께서 친절하게 맞이해주시고 혼자 왔다고 밑반찬들 더 신경써주셔서 마음 편하게 먹고 와서 괴로운 업무와 싸우는 중입니다. 🤣,1.9,9,5.0,2023.09.13.,"프로사실러
브론즈 배지
레벨
8",46944311
2,,3.0,2,1.0,2023.05.14.,"😀
브론즈 배지
레벨
1",46944311
3,,2.6,326,1.0,2020.01.03.,"맛집감별사
골드 배지
레벨
32",46944311
4,화덕매족또생각나는맛..불맛까지입혀져서정말맛있음..,4.4,28,5.0,2019.02.24.,"행복을주는천사
실버 배지
레벨
16",46944311
0,새우파스타샐러드 추천,4.5,32,5.0,2023.08.13.,"manor
실버 배지
레벨
13",1540623011
1,"사장님께서 엄청 친절하시고 샐러드,그릭요거트 다 맛있습니당",4.5,2,5.0,2023.04.06.,"춒파
브론즈 배지
레벨
6",1540623011
2,근처 샌드위치집 중 제일 좋아요!내용물 꽉 차 있고 맛있어요,5.0,5,5.0,2022.03.17.,"왕왕왕
브론즈 배지
레벨
3",1540623011
5,와사비크래미샌드위치 존맛,4.3,19,5.0,2022.03.03.,"Rosie
실버 배지
레벨
11",1540623011
6,,4.0,18,5.0,2022.02.22.,"춘식
실버 배지
레벨
16",1540623011
0,,4.8,19,5.0,2023.10.29.,"정충환
브론즈 배지
레벨
9",371518731
1,"버블티 펄을 전자렌지 돌리시는게 아니라 바로바로 끓이셔요 쫀득 존맛 공차까지 안가도 된다......
타로버블티존맛",4.3,38,5.0,2023.10.21.,"뇽냥뇽
실버 배지
레벨
18",371518731
2,,4.6,5,5.0,2023.09.27.,"서용석
브론즈 배지
레벨
1",371518731
8,포케 먹었는데 맛있었어요! 매장에서 먹고 가면 차 한 잔이랑 과일 주실 때도 있더라구요 주문 친절하게 받아주시고 양도 많고 완전 맛있었어용 굿,3.2,17,5.0,2023.09.01.,"김진원
실버 배지
레벨
14",371518731
9,홍차 버블 밀크티를 시켰습니다. 제가 공차 처돌이인데 인덕원 근처에 공차가 없어서 아쉬워했는데 어머나! 여기 버블티 맛집이네요 원래 그런건지 재료가 다 떨어져서 할 때가 돼서 그런건지 주문을 받고서 버블을 만드시더라구요. 쫄깃쫄깃 오동통통 달달한 밀크티 잘 먹었습니닷~ 다음엔 샐러드 도전해보께요! \(◡̈)/♥︎,5.0,8,5.0,2023.07.04.,"태초마을공주
브론즈 배지
레벨
7",371518731
10,자주 가는데 매번 친절하세요,3.9,20,5.0,2023.06.10.,"후휴
브론즈 배지
레벨
7",371518731
11,,4.5,4,4.0,2023.05.05.,"박서연
브론즈 배지
레벨
2",371518731
12,신선한 샐러드 먹고 싶을 때마다 찾는 곳이에요. 토핑 더 추가하려고 했더니 양 충분하실 거라며 적당량 권장해주시는 정직한 곳입니다. 오래오래 번창하세요 ^^,5.0,3,5.0,2022.08.26.,"Soo
브론즈 배지
레벨
7",371518731
18,"불친절의 대명사
채소는 조금 맛이 갔었음
재방문 할 의사 없음",3.3,47,1.0,2021.09.23.,"하..세상
실버 배지
레벨
22",371518731
19,말이 필요없습니다!,3.8,16,5.0,2021.08.29.,"재민
실버 배지
레벨
14",371518731
20,디카페인 연유아이스라떼 먹었는데 맛있어서 깜짝놀랐어요... 와우,4.6,14,5.0,2021.07.09.,"마크트웨인
브론즈 배지
레벨
6",371518731
21,네번째 방문!!! 진짜 맛있고 사장님도 친절해요,3.9,29,5.0,2021.06.06.,"샙샙
실버 배지
레벨
21",371518731
22,너무친절하시고 맛도 너무맛있음 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,3.0,22,5.0,2021.04.23.,"yeon_:
실버 배지
레벨
13",371518731
23,닭다리살스테이크 샐러드 사먹었는데 맛있고 양도 푸짐하네요! 매장 내부가 예쁘고 직원분들도 넘 친절하십니다. 감사히 잘 먹었습니당 ㅎㅎ,4.6,26,5.0,2021.03.29.,"미식가 고양이
실버 배지
레벨
13",371518731
24,"사장님 너무 친절하세요!! 오늘 처음 가봤는데 소스도 추천해주시고 계란도 서비스로 주셨어요 감사합니다 
조만간 또 가겠습니당ㅎㅎㅎ",3.0,2,5.0,2021.03.08.,"냥
브론즈 배지
레벨
3",371518731
25,"진짜 맛도 대박
사장님 진짜 엄청 친절하시고 서비스도 너무 좋으세요
제 단골집입니다❤❤❤❤❤
샐러드가 땡겼는데 마침 집앞에 생겨서 먹었는데 너무맛있어서 먹고 반했어요
바로 정기권도 끊고 퇴근하고 샐러드 먹고싶을때마다 들러서 저녁으로 사옵니다
커피도 하필 제 최애 일리커피여서 진짜... 너무행복합니다
더보기",2.7,7,5.0,2020.12.30.,"토리
브론즈 배지
레벨
7",371518731
0,엄청 많음,4.0,3,4.0,2024.01.01.,"CWLEE
브론즈 배지
레벨
3",1213671701
1,정말 푸짐하고 맛있어요,4.8,5,5.0,2023.12.09.,"미니미니
브론즈 배지
레벨
4",1213671701
2,"🥘 해물찜(소) 59000원.
오징어, 쭈꾸미, 아구, 새우, 꽂게, 전복 등 싱싱한 해산물과 아삭한 콩나물이 듬뿍 들어있고 양이 어마어마했다.
쭈꾸미와 전복은 알맞게 익혀 나와 쫄깃하며 부드러웠다.
디른 해산물들도 싱싱해서 비리지 않고 .맛이 좋았다.
중간중간 함께 먹는 아삭한 콩나물도 통통하고 질기지 않아 씹는 식감이 좋았다 
겨자장에 찍어 먹으니 알싸한 맛과 함께 감칠맛이 한층 살아난다.
해물찜이 그냥 먹기에 짜지 않아서 공깃밥보다는 볶음밥을 먹는 것을 추천한다.
더보기",4.4,112,4.0,2023.08.09.,"늦바람
골드 배지
레벨
35",1213671701
0,맛있고 예쁜데 다른 데보다 저렴,5.0,2,5.0,2022.04.16.,"개망초
브론즈 배지
레벨
2",2015536317
1,,5.0,3,5.0,2022.03.21.,"노현진
브론즈 배지
레벨
3",2015536317
0,"고르곤졸라 피자, 파스타 전체적으로 맛있고 필라프도 맛있음 굿굿굿",4.1,14,5.0,2024.02.19.,"🍊
브론즈 배지
레벨
10",844577039
1,,3.8,13,3.0,2022.12.21.,"사진찍는댕댕이
실버 배지
레벨
14",844577039
2,피자도 굿 파스타도 굿,4.8,10,5.0,2022.08.11.,"마시쩡
브론즈 배지
레벨
2",844577039
0,"관양점 사장님 보이스칼라 굿~!!
친절하시고...무엇보다 피자 치킨 넘넘 맛나요.
여직원분???도 넘 이쁘시고 친절해요.
칭찬합니다.엄지척~bbb
더보기",4.8,5,5.0,2023.05.24.,"ㅋrㄴrㄹiㅇr~🍒
브론즈 배지
레벨
5",11219002
1,별1점도 아까움 2번시켜봤는데 2번다 배달안된다고 요기요 3만원 짜리 쿠폰 써서 그런가 배달가능 지역으로 분명적혀있고 어플에 뜨는데 계속 배달원 수급어려움 배달불가지역이라고 취소카톡만 딱오고 바로 요기요는 영업종료뜨게 해버리네 배민은 살려놓고 참 어이없어서 현금받고 아주 부자되슈 더러워서 안먹는다,3.4,10,1.0,2022.05.04.,"승주준비
브론즈 배지
레벨
8",11219002
2,몇개월 전 사장님 바꿔서 안된는 부분 메뉴들이 가능하다고 합니다 오늘 알아서요 참고 고구마 피자(부모님이 좋아 합니다)는 저는  살짝 밍밍했지만 다른메뉴는 기대합니다 전 갈릭피자 좋아서 추천이지만 취향은 사람마다 다르니까요 참고요,4.6,14,5.0,2021.11.13.,"화려한소녀
실버 배지
레벨
12",11219002
0,,5.0,14,5.0,2023.08.26.,"우창범
브론즈 배지
레벨
3",757274592
1,맛있어요,3.3,24,5.0,2023.06.01.,".
브론즈 배지
레벨
4",757274592
2,맛있어요,4.7,9,5.0,2022.09.02.,"드모뜨
브론즈 배지
레벨
7",757274592
6,불고기피자 맛집!,4.1,171,5.0,2021.09.27.,"choi2meal
골드 배지
레벨
33",757274592
7,쫄깃하고 맛있어요,4.2,16,5.0,2021.08.18.,"메리미
실버 배지
레벨
13",757274592
8,멍멍멍멍!!!!,3.4,105,4.0,2021.02.20.,"좋으면짖는개
실버 배지
레벨
18",757274592
0,피자에서 머리카락 나왔어요,3.9,38,1.0,2020.10.18.,"SHERBET
실버 배지
레벨
14",10743523
0,"전 사실 피자를 좋아하지 않지만.
빽보이피자 인덕원점에서 먹고나서 요즘 지주 시켜먹어요.
일단 아주 맛있습니다. 그리고 가격대비
가성비가 좋아요.
최고입니다.
더보기",5.0,2,5.0,2023.06.09.,"이기태
브론즈 배지
레벨
2",419458980
1,너~~ㅁ쪼아요!!!,5.0,1,5.0,2023.05.18.,"항상 감사하라!
브론즈 배지
레벨
3",419458980
0,,3.4,136,3.0,2024.01.18.,"ㄱ
실버 배지
레벨
21",18060170
1,이벤트 기간이라 주문이 밀렸는지 포장예약하고 갔는데도 무작정 기다리라면서 화내시더라고요 왜 주문량 많아서 바쁘신걸 손님한테 화풀이 하시나요? 다른 배달하시는분이 잘 응대해주셔서 그나마 빨리 받고 나왔는데 사장인지 하는분은 정말 태도가 기분 나빴어오,3.8,4,2.0,2023.10.13.,"김수지
브론즈 배지
레벨
7",18060170
2,너무 맛있어요,5.0,1,5.0,2023.05.10.,"김성회
브론즈 배지
레벨
2",18060170
0,"피자 다식어오고 ..에프에 돌릴정도..
치즈갈릭소스 2개주문.1개만옴..
피자가 이렇게 맛없을수가있나..도우 밀가루맛..에효..제가운이없었지요..",3.2,35,2.0,2023.12.07.,"제주살이
실버 배지
레벨
19",8256776
1,"피자 매장이라 맛도 물론 중요하겠지만 직원분들이 너무 친절해서 항상 만족스러운 것 같아요.
매장을 방문할 때도 그렇고 온라인으로 주문 할 때도 그렇고 가끔 어려운 부분이 생기기 마련인데 전화를 드리면 친절하게 답변해주셔서 기본적으로 좋은 이미지를 가지게 되는 것 같아요.
음식점이 모두 바쁘긴 하겠지만 응대의 친절도는 이미지를 각인시켜주는 것 같습니다. 감사해요.",1.9,9,5.0,2023.10.01.,"ㅎ
브론즈 배지
레벨
8",8256776
2,도미노가 이렇게 맛없게 만들수도 있나 싶은 매장... ㅉ,3.2,114,1.0,2023.07.11.,"T
실버 배지
레벨
24",8256776
8,,3.6,33,1.0,2023.05.06.,"초코바
실버 배지
레벨
19",8256776
9,피클 주지말라고 계속 체크하는데 계속 줌 ♪~♪ 열받음 개빡쳐서 죽을꺼 같음,1.0,1,1.0,2022.05.01.,"Ch.k
브론즈 배지
레벨
2",8256776
10,피자 맛은 있는데 배달직원이.. 도미노 유니폼 입고 도미노 오토바이 타면 운전도 신경써서 조심히 해야하는거 아닌가? 미친듯이 다니는 거보고  이건 아니다 싶었습니다.,2.7,18,1.0,2021.08.14.,"나무
브론즈 배지
레벨
8",8256776
11,가끔 퇴근길에 들러서 사갖고 오는데 맛있어요~ 친절하시고요!,4.4,154,5.0,2021.04.18.,"HRKim
골드 배지
레벨
31",8256776
12,장사가 안되서 그런지 재료가 신선하지 못해요   돼지고기 에서 냄새가 심하게 납니다.,1.6,26,1.0,2020.09.18.,"p
실버 배지
레벨
14",8256776
0,,5.0,1,5.0,2023.08.29.,"보라
브론즈 배지
레벨
1",1608676829
1,,5.0,1,5.0,2023.08.29.,"김규상
브론즈 배지
레벨
1",1608676829
2,,2.0,24,1.0,2023.04.11.,".
실버 배지
레벨
12",1608676829
3,,4.0,21,4.0,2022.07.25.,".
브론즈 배지
레벨
6",1608676829
4,,4.5,8,5.0,2020.01.18.,"윤주원
브론즈 배지
레벨
5",1608676829
5,,5.0,4,5.0,2018.01.15.,"박주호
브론즈 배지
레벨
2",1608676829
0,,5.0,1,5.0,2023.06.11.,"브론즈 배지
레벨
1",13301158
1,"육회가 입에서 살살 녹아여 .. 존맛탱구리 1육회 3소주 가능
그리고 메뉴 구성이 너무너무너무 맘에 들어오 ㅠㅠ",3.7,28,5.0,2022.09.13.,"^^
실버 배지
레벨
17",13301158
2,"육회는 맛있으나 연어는 비린 맛이 나네요
그래서 남겼어요…",3.7,19,3.0,2022.03.07.,"BONG
실버 배지
레벨
12",13301158
0,친절하고 음식이 맛있어요,2.5,2,4.0,2023.12.16.,"감사~
브론즈 배지
레벨
2",621118263
1,친절하고 맛있어요! 오래오래 장사해주세요,4.6,9,5.0,2023.03.18.,"웅념냠
실버 배지
레벨
11",621118263
2,가성비 갓 맛집,5.0,1,5.0,2023.03.15.,"맛잘알
브론즈 배지
레벨
1",621118263
3,점심식사 가성비 좋아요!,4.4,114,4.0,2023.03.04.,"식도락여행
실버 배지
레벨
23",621118263
4,이 근방 최고존엄⭐️,2.7,12,5.0,2023.01.12.,"🤔
브론즈 배지
레벨
10",621118263
5,"끼니해결에 너무 좋아요. 고기반찬, 야채나물, 국, 디저트.. 구성이 좋고 맛도 좋아요~~  가격도 저렴~~ 굿굿",5.0,13,5.0,2021.10.02.,"헌짱구
브론즈 배지
레벨
10",621118263
6,,5.0,8,5.0,2020.11.09.,"김영희
브론즈 배지
레벨
3",621118263
0,아팠을때 갔는데 너무 친절하시구 맛있었어요 🤍,3.0,2,5.0,2024.01.03.,".
브론즈 배지
레벨
2",332555385
1,자주 가는데 맛있고 친절해요,3.9,20,5.0,2023.11.03.,"후휴
브론즈 배지
레벨
7",332555385
2,배달비 500원 더 들더라도 이 지점에서 시켜먹어요. 늘 진심으로 해주셔서 너무좋아요.,5.0,1,5.0,2023.10.28.,"박혜전
브론즈 배지
레벨
3",332555385
8,...,4.3,38,5.0,2023.07.10.,"뇽냥뇽
실버 배지
레벨
18",332555385
9,"믿고먹는 본죽이죠... 생긴지 얼마 안된 매장이라 더 깨끗하고 사장님도 너무 친절하고 좋으셔요.
오늘도 잘먹고 가요. 항상 감사합니다^^ 
다음엔 회사에서 단체주문도 해봐야겠어요~",3.4,13,5.0,2023.04.03.,"외긇어세요
브론즈 배지
레벨
8",332555385
10,음식 너무 맛있고 직원 모두 친절하십니당👍👍,4.7,3,5.0,2023.01.30.,"신소현
브론즈 배지
레벨
4",332555385
11,,4.1,75,5.0,2023.01.28.,"정직한리뷰왕
실버 배지
레벨
17",332555385
12,친절하시긴한데 다른 지점에 비해 건더기나 전체적인 양이 확실히 적어요. 개선이 필요한 것 같아요.,4.4,148,2.0,2023.01.14.,"mmm
골드 배지
레벨
35",332555385
17,,2.6,326,4.0,2020.10.16.,"맛집감별사
골드 배지
레벨
32",332555385
18,친절하고 맛있어요,4.0,6,5.0,2020.09.12.,"mayG1
브론즈 배지
레벨
2",332555385
19,"직원분 항상 밝으시고 응대도 잘하셔서 좋습니다
:)",4.0,29,5.0,2020.07.11.,"ㄹㅂㅎ
실버 배지
레벨
17",332555385
20,"깨끗해서 좋네욤
근데 요즘 본죽은 식사 다 하고 매실차 안주나요? 여긴 안줬음",3.3,33,4.0,2018.03.23.,"우잉
실버 배지
레벨
17",332555385
0,,3.0,102,5.0,2024.01.29.,".
실버 배지
레벨
25",994425247
1,곰탕만 드세요.,4.1,42,1.0,2023.08.04.,"용감한 미어캣
실버 배지
레벨
18",994425247
2,"국밥 생각날 때 종종 가는 집이에요!!
국밥도 맛있고 반찬도 정갈하고
계란말이까지 나와서 넘 좋은 식당이에요!!",5.0,4,5.0,2023.07.16.,"🌙
브론즈 배지
레벨
5",994425247
7,맛있어요. 집밥느낌도 나고 든든하게 잘 먹점심식사 었습니다,4.5,8,5.0,2022.12.31.,"날씨
브론즈 배지
레벨
7",994425247
8,유일하게 아침7시30분에 밥먹을수 있음,4.4,36,5.0,2022.01.21.,"막까파(구경민)
실버 배지
레벨
18",994425247
9,깔끔하고 맛있음. 반찬 셀프 리필 가능.,4.0,51,5.0,2021.05.26.,"카트린느
실버 배지
레벨
24",994425247
10,,2.6,326,3.0,2020.01.03.,"맛집감별사
골드 배지
레벨
32",994425247
0,"600그램에39000원짜리 갈비먹었는데
또와야겠어요~~짱맛있어요",4.6,25,5.0,2023.03.17.,"517
실버 배지
레벨
13",739039334
0,,5.0,3,5.0,2023.08.31.,"유용현
브론즈 배지
레벨
3",665421019
1,...,4.3,38,5.0,2023.07.28.,"뇽냥뇽
실버 배지
레벨
18",665421019
2,맛있어요 너무,3.9,20,5.0,2023.06.10.,"후휴
브론즈 배지
레벨
7",665421019
3,여기 다른 지점보다 맛있네요,5.0,10,5.0,2023.04.25.,"Hertz
브론즈 배지
레벨
9",665421019
4,매장 엄청 깔끔하고 개맛있어요 자리마다 콘센트도잇음,4.2,72,5.0,2023.03.17.,"sdj
실버 배지
레벨
24",665421019
0,내가 먹어본 수제버거집중에 거의 원탑이다. 동네라고 우습게 볼거 아니다. 패티 육즙도 많고 먹어보면 사장님의 정성? 뭔가 내공이 느껴진다. 먹는 와중에 또먹고 싶다 생각이 들 정도였다.,4.8,40,5.0,2024.02.13.,"롱이
실버 배지
레벨
17",523052448
1,"일단 내가 살면서 먹은 햄버거중 젤 맛있었음

근데 감튀가 얇아서 좀 아쉽",5.0,3,5.0,2023.12.14.,"박영준
브론즈 배지
레벨
3",523052448
2,매번 배달시켜먹다가 오늘은 매장에 직접가서 먹었어요😋배달도 맛있다 생각했는데 매장에서 먹으니까 더더욱 JMT!!!!!🤭🍔 주차도 편하고 매장도 깔끔하니 좋아요!!! 다음에 또 먹으러와야징,3.5,8,5.0,2023.10.21.,"양초원
브론즈 배지
레벨
8",523052448
8,"햄버거를 잘안먹는데  맛있네요
강추입니다 ^^*",5.0,1,5.0,2023.07.30.,"신희균
브론즈 배지
레벨
2",523052448
9,"수제버거 요즘 가격만 비싸고 맛없는곳도 많은데 (맛있지만.. 넘 비싸거나ㅠㅠ)
여기는 진짜 가성비 갑이네요..
한입 먹을때마다 감탄하면서 먹었습니다. 패티육즙 장난아니구요. 부드러워서 그냥 목구멍으로 쑥쑥 넘어감. 진심으로 찐 맛집. 밀크쉐이크 단맛도 딱 내 스탈.",5.0,3,5.0,2023.07.29.,"화난라이언
브론즈 배지
레벨
6",523052448
10,,5.0,1,5.0,2023.07.28.,"정호영
브론즈 배지
레벨
2",523052448
